"","tax_yr","zip3","count","b_zip3","count_selfemp_only","b_zip3_selfemp_only"
"10240",2008,787,48833,0.0161366289189687,39026,0.0788
"10241",2009,787,49665,0.0195308567401591,39876,0.0999587798845837
"10242",1996,788,23412,0.0175978130873057,22321,0.104383075753737
"10243",1997,788,23282,0.0199295593162099,22218,0.111244305921841
"10244",1998,788,23430,0.0240290226205719,22417,0.125278148642635
"10245",1999,788,23217,0.0245509755782401,18787,0.128610108303249
"10246",2000,788,23336,0.0249828591018169,18756,0.124732563115105
"10247",2001,788,23496,0.0326438542730678,18474,0.155357504557424
"10248",2002,788,24755,0.0372853968895173,19174,0.167392092854552
"10249",2003,788,24978,0.0417167107054208,18974,0.177543022661441
"10250",2004,788,25430,0.0453008257963036,18820,0.177613320999075
"10251",2005,788,25680,0.0460669781931464,18831,0.177680985280865
"10252",2006,788,25552,0.0495460237946149,18387,0.181427343078246
"10253",2007,788,25757,0.0498117016733315,18380,0.177971979470107
"10254",2008,788,25786,0.0425036841697045,18746,0.156952599169411
"10255",2009,788,26300,0.0431178707224335,19424,0.168674698795181
"10256",1996,789,4230,0.00685579196217494,4826,0.0377113133940182
"10257",1997,789,4163,0.0117703579149652,4902,0.0693069306930693
"10258",1998,789,4134,0.00870827285921625,4996,0.0515759312320917
"10259",1999,789,4115,0.00923450789793439,3440,0.0547550432276657
"10260",2000,789,4105,0.0112058465286236,3409,0.0625
"10261",2001,789,4059,0.0115792067011579,3281,0.0615183246073298
"10262",2002,789,4409,0.0120208664096167,3542,0.0605022831050228
"10263",2003,789,4402,0.0138573375738301,3452,0.0674778761061947
"10264",2004,789,4438,0.0171248310049572,3472,0.079002079002079
"10265",2005,789,4318,0.0141269106067624,3428,0.0690045248868778
"10266",2006,789,4219,0.0154064944299597,3268,0.0715071507150715
"10267",2007,789,4200,0.0185714285714286,3312,0.0898617511520737
"10268",2008,789,4299,0.0125610607117934,3320,0.0599334073251942
"10269",2009,789,4333,0.0131548580660051,3316,0.0711610486891386
"10270",1996,790,20270,0.00666008880118402,22803,0.0464716006884682
"10271",1997,790,19968,0.00786258012820513,23176,0.0567196531791908
"10272",1998,790,19782,0.00778485491861288,23313,0.0573343261355175
"10273",1999,790,19584,0.0107741013071895,16863,0.077007299270073
"10274",2000,790,18959,0.0109182973785537,16379,0.0788271134805788
"10275",2001,790,18468,0.0111002815681178,15710,0.0780357822611344
"10276",2002,790,20036,0.0127770013974845,16813,0.0830629461388709
"10277",2003,790,19952,0.0137329591018444,16753,0.0861364350833071
"10278",2004,790,20078,0.0149417272636717,16649,0.091324200913242
"10279",2005,790,19985,0.0143107330497873,16489,0.0881084411583487
"10280",2006,790,19472,0.0151499589153657,16007,0.0908530951647675
"10281",2007,790,19120,0.0162133891213389,15737,0.0965732087227414
"10282",2008,790,18869,0.0150511420849012,15645,0.0944777112441783
"10283",2009,790,20021,0.0139353678637431,16864,0.0932486631016043
"10284",1996,791,16103,0.00776252872135627,18827,0.0588235294117647
"10285",1997,791,16107,0.00751226174954988,18861,0.055352241537054
"10286",1998,791,16122,0.00713311003597569,19619,0.0565666502705362
"10287",1999,791,16363,0.0085558882845444,14172,0.0651769087523277
"10288",2000,791,16271,0.0123532665478459,13955,0.0890168290522586
"10289",2001,791,16530,0.0131881427707199,14175,0.0949477351916376
"10290",2002,791,17761,0.016890940825404,14862,0.107449856733524
"10291",2003,791,18397,0.0210903951731261,15443,0.127757655581166
"10292",2004,791,18669,0.0181048797471745,15493,0.108681672025723
"10293",2005,791,19173,0.0216971783236843,15585,0.121388969944558
"10294",2006,791,19256,0.0204611549646863,15888,0.121342777948876
"10295",2007,791,19481,0.0236127508854782,15852,0.133063349725195
"10296",2008,791,19465,0.0185461083996918,15848,0.105463044113351
"10297",2009,791,20428,0.0238887801057372,16762,0.138833570412518
"10298",1996,792,3736,0.00802997858672377,3836,0.0464396284829721
"10299",1997,792,3586,0.00808700501952036,3770,0.0516934046345811
"10300",1998,792,3482,0.00947731188971855,3725,0.0566037735849057
"10301",1999,792,3457,0.00867804454729534,2889,0.0524475524475524
"10302",2000,792,3310,0.00996978851963746,2757,0.0608856088560886
"10303",2001,792,3261,0.00674639681079423,2694,0.0404411764705882
"10304",2002,792,3438,0.0107620709714951,2793,0.0609555189456343
"10305",2003,792,3412,0.0123094958968347,2731,0.0673076923076923
"10306",2004,792,3444,0.0104529616724739,2806,0.06070826306914
"10307",2005,792,3392,0.013561320754717,2707,0.0757825370675453
"10308",2006,792,3344,0.00927033492822966,2707,0.0539130434782609
"10309",2007,792,3250,0.00892307692307692,2605,0.0478547854785479
"10310",2008,792,3121,0.0108939442486383,2536,0.0623853211009174
